ageunder16,age16_24,age25_34,age35_44,age45_54,age55_64,age65over,gender_male,gender_female,population_group_percentage
0,889,0,0,0,0,0,479,349,9.2
0,0,1574,1623,1421,1218,613,4383,2003,67.3
427,707,1111,1291,1246,1146,585,4210,2171,67.7
2,106,219,246,195,99,28,536,328,9.3
1134,1139,1905,2025,1627,1255,626,5904,3662,100
391,516,720,935,971,893,472,3100,1707,50.4
717,437,785,710,375,114,47,1656,1512,32.8
1117,248,274,367,188,43,18,949,1304,23.2
0,889,0,0,0,0,0,492,338,9.2
0,0,1631,1658,1439,1212,608,4463,2020,67.6
417,702,1120,1315,1252,1141,579,4248,2150,67.2
2,97,211,263,196,103,25,549,321,9.2
1273,1234,2096,2190,1690,1304,621,6337,3919,100
379,518,740,947,947,896,468,3088,1720,47
803,497,893,784,385,122,46,1869,1643,33.9
1251,290,330,414,186,41,17,1082,1445,24.3
0,936,0,0,0,0,0,523,353,9
0,0,1766,1776,1504,1263,604,4732,2121,66.7
470,737,1203,1406,1305,1182,575,4468,2276,66.1
3,99,243,280,218,103,32,606,339,9.4
1272,1242,2232,2262,1730,1352,612,6511,4018,100
387,501,819,992,953,906,457,3140,1784,46.9
795,502,934,786,392,126,40,1914,1641,33.4
1245,281,326,417,184,39,16,1068,1437,23.4
0,959,0,0,0,0,0,538,354,9
0,0,1906,1845,1546,1313,596,4905,2227,67.6
477,740,1298,1476,1338,1226,572,4597,2377,66.6
2,99,249,309,219,107,33,627,353,9.5
1231,1233,2294,2351,1751,1385,604,6638,4030,100
373,477,827,1032,952,903,437,3146,1761,46.1
759,517,947,805,395,131,38,1954,1618,33.1
1213,268,318,423,177,42,17,1056,1400,22.7
0,963,0,0,0,0,0,543,353,8.9
0,0,1976,1928,1574,1343,587,5039,2277,68.5
472,716,1347,1546,1356,1254,566,4684,2412,66.9
2,99,253,350,226,110,27,661,364,9.8
1237,1237,2298,2351,1714,1369,605,6614,4017,100
380,488,849,1067,960,907,440,3196,1805,47.1
764,537,962,811,386,130,43,1981,1630,33.6
1224,265,330,433,165,41,17,1055,1419,22.9
0,971,0,0,0,0,0,543,367,9
0,0,1968,1918,1549,1328,588,5016,2231,68.1
473,700,1336,1540,1328,1239,562,4633,2387,66.4
4,109,263,333,226,113,30,661,376,10
1225,1249,2244,2252,1639,1306,600,6426,3912,100
394,482,832,1050,937,875,447,3159,1775,47.7
779,571,974,794,384,122,39,2001,1641,34.8
1215,261,325,421,160,39,11,1041,1389,23.1
0,986,0,0,0,0,0,550,373,9.4
0,0,1919,1831,1479,1267,589,4835,2150,67.5
446,678,1270,1458,1255,1184,561,4425,2271,65.2
6,107,243,323,207,105,32,628,353,9.7
1242,1272,2275,2219,1587,1258,600,6396,3891,100
392,472,815,1017,929,849,443,3107,1729,47
779,635,1093,849,401,118,39,2187,1708,37.4
1230,257,329,435,157,37,13,1063,1393,23.5
0,1015,0,0,0,0,0,577,384,9.7
0,0,1946,1784,1430,1221,587,4756,2114,66.8
463,637,1182,1370,1186,1140,561,4209,2183,62.6
9,94,233,310,194,101,31,601,333,9.3
1282,1310,2280,2191,1581,1200,574,6331,3934,100
528,511,835,1024,942,833,438,3195,1836,49.1
780,683,1178,931,435,127,37,2335,1817,40
1272,277,342,441,168,40,14,1124,1429,24.5
0,1033,0,0,0,0,0,589,393,9.9
0,0,1938,1750,1413,1160,560,4618,2112,65.6
502,627,1102,1260,1146,1073,537,3996,2117,60
